seccion,fh_score,silabas_por_palabra,palabras_por_oracion,nivel,sentimiento,pct_positivo,pct_negativo
Introducción: Firmes Por La Patria,61.4,2.14,16.8,Normal,0.585,5.0,1.3
Pasaremos Del Modelo Reactivo Al Modelo Preventivo,46.0,2.31,22.0,Muy difícil,0.67,3.7,0.7
El Milagro Del Bienestar Animal Integral,30.8,2.38,32.6,Muy difícil,0.523,2.3,0.7
"Infraestructura Digna, Identificación Y Trazabilid",27.1,2.44,32.9,Extremad. difícil,0.471,1.2,0.4
Financiación Sostenible Y Corresponsabilidad: Viab,23.0,2.55,30.1,Extremad. difícil,0.944,2.0,0.0
Pilares Para Reconstruir La Patria Milagro,65.9,2.09,15.5,Normal,0.625,3.4,0.8
Policía De Protección Animal Y Ruta Nacional De At,26.5,2.48,30.9,Extremad. difícil,0.667,2.1,0.4
